Nederlands,Engels
de berg,mountain
beschermen,to protect
bewolkt,cloudy
het blad (bladeren),leaf (leaves)
het buurland,neighbouring country
de democratie,democracy
dichtbevolkt,densely populated
de dijk,dyke
de duinen,dunes
het eiland,island
de file,traffic jam
de gastarbeider,guest worker
het gebied,territory
het geloof,religion
geloven,to believe
de haven,harbour
de herfst,autumn
de hoofdstad,capital city
de ingang,entrance
koel,cool
de lente,spring
het meer,lake
de minister,the Minister
de nationaliteit,nationality
de natuur,nature
de paraplu,umbrella
het parlement,parliament
het plan,plan
de polder,polder
de president,president
de prins,prince
de prinses,princess
de provincie,province
het punt,point
de regering,government
reizen,to travel
de rivier,river
schaatsen,to skate
schijnen,to shine
het seizoen,season
de snelweg,"freeway, highway"
stemmen,to vote
de toren,tower
de verblijfsvergunning,residence permit
de vierkante kilometer,square kilometre
het vliegveld,airport
de vluchteling,refugee
vriezen,to freeze
wisselvallig,changeable
de zeespiegel,sea level
